Data;Balance
2018.07.19;15787.00
2018.07.19;15787.00
2018.07.20;15892.00
2018.07.20;15892.00
2018.07.20;15892.00
2018.07.23;15950.00
2018.07.23;15950.00
2018.07.23;15950.00
2018.07.25;15969.00
2018.07.25;15969.00
2018.07.25;15969.00
2018.07.26;15920.00
2018.07.26;15920.00
2018.07.26;15920.00
2018.07.27;15981.00
2018.07.27;15981.00
2018.07.27;15981.00
2018.07.27;16055.00
2018.07.27;16055.00
2018.07.27;16055.00
2018.07.30;16015.00
2018.07.30;16015.00
2018.07.30;16015.00
2018.07.31;15977.00
2018.07.31;15977.00
2018.07.31;15977.00
2018.08.01;16112.00
2018.08.01;16112.00
2018.08.01;16112.00
2018.08.02;16071.00
2018.08.02;16071.00
2018.08.02;16071.00
2018.08.03;16146.00
2018.08.03;16146.00
2018.08.06;16281.00
2018.08.06;16281.00
2018.08.06;16281.00
2018.08.08;16235.00
2018.08.08;16235.00
2018.08.08;16235.00
2018.08.09;16330.00
2018.08.09;16330.00
2018.08.09;16330.00
2018.08.10;16272.00
2018.08.10;16272.00
2018.08.10;16272.00
2018.08.13;16387.00
2018.08.13;16387.00
2018.08.13;16387.00
2018.08.14;16522.00
2018.08.14;16522.00
2018.08.14;16522.00
2018.08.15;16447.00
2018.08.15;16447.00
2018.08.15;16447.00
2018.08.16;16364.00
2018.08.16;16364.00
2018.08.16;16364.00
2018.08.17;16296.00
2018.08.17;16296.00
2018.08.17;16296.00
2018.08.20;16301.00
2018.08.20;16301.00
2018.08.20;16301.00
2018.08.21;16324.00
2018.08.21;16324.00
2018.08.21;16324.00
2018.08.22;16519.00
2018.08.22;16519.00
2018.08.22;16519.00
2018.08.23;16697.00
2018.08.23;16697.00
2018.08.23;16618.00
2018.08.23;16618.00
2018.08.23;16618.00
2018.08.27;16570.00
2018.08.27;16570.00
2018.08.27;16570.00
2018.08.28;16576.00
2018.08.28;16576.00
2018.08.28;16576.00
2018.08.29;16516.00
2018.08.29;16516.00
2018.08.29;16516.00
2018.08.31;16651.00
2018.08.31;16651.00
2018.08.31;16651.00
2018.09.03;16755.00
2018.09.03;16755.00
2018.09.03;16755.00
2018.09.04;16716.00
2018.09.04;16716.00
2018.09.04;16716.00
2018.09.05;16829.00
2018.09.05;16829.00
2018.09.05;16829.00
2018.09.06;16783.00
2018.09.06;16783.00
2018.09.06;16783.00
2018.09.10;16918.00
2018.09.10;16918.00
2018.09.11;16839.00
2018.09.11;16839.00
2018.09.11;16839.00
2018.09.12;16953.00
2018.09.12;16953.00
2018.09.12;16953.00
2018.09.13;16878.00
2018.09.13;16878.00
2018.09.13;16878.00
2018.09.17;16921.00
2018.09.17;16921.00
2018.09.17;16921.00
2018.09.18;16873.00
2018.09.18;16873.00
2018.09.18;16873.00
2018.09.19;16808.00
2018.09.19;16808.00
2018.09.19;16808.00
2018.09.21;16753.00
2018.09.21;16753.00
2018.09.21;16753.00
2018.09.25;16888.00
2018.09.25;16888.00
2018.09.25;16888.00
2018.09.26;16823.00
2018.09.26;16823.00
2018.09.26;16823.00
2018.09.27;16978.00
2018.09.27;16978.00
2018.09.27;16978.00
2018.09.28;17083.00
2018.09.28;17083.00
2018.09.28;17083.00
2018.10.01;17218.00
2018.10.01;17218.00
2018.10.01;17218.00
2018.10.02;17155.00
2018.10.02;17155.00
2018.10.02;17155.00
2018.10.03;17378.00
2018.10.03;17378.00
2018.10.04;17311.00
2018.10.04;17311.00
2018.10.04;17311.00
2018.10.05;17510.00
2018.10.05;17510.00
2018.10.05;17510.00
2018.10.10;17428.00
2018.10.10;17428.00
2018.10.10;17428.00
2018.10.11;17426.00
2018.10.11;17426.00
2018.10.11;17426.00
2018.10.15;17537.00
2018.10.15;17537.00
2018.10.15;17537.00
2018.10.17;17484.00
2018.10.17;17484.00
2018.10.17;17484.00
2018.10.18;17440.00
2018.10.18;17440.00
2018.10.18;17440.00
2018.10.22;17372.00
2018.10.22;17372.00
2018.10.22;17372.00
2018.10.23;17321.00
2018.10.23;17321.00
2018.10.23;17321.00
2018.10.24;17383.00
2018.10.24;17383.00
2018.10.24;17383.00
2018.10.26;17617.00
2018.10.26;17617.00
2018.10.26;17617.00
2018.10.26;17535.00
2018.10.26;17535.00
2018.10.26;17535.00
2018.10.29;17770.00
2018.10.29;17770.00
2018.10.31;17905.00
2018.10.31;17905.00
2018.10.31;17905.00
2018.11.01;17830.00
2018.11.01;17830.00
2018.11.01;17830.00
2018.11.05;17751.00
2018.11.05;17751.00
2018.11.05;17751.00
2018.11.07;17866.00
2018.11.07;17866.00
2018.11.07;17866.00
2018.11.07;17970.00
